account number,name,sku,quantity,unit price,ext price,date
163416,Purdy-Kunde,S1-30248,19,65.03,1235.57,2014-03-01 16:07:40
527099,Sanford and Sons,S2-82423,3,76.21,228.63,2014-03-01 17:18:01
527099,Sanford and Sons,B1-50809,8,70.78,566.24,2014-03-01 18:53:09
737550,"Fritsch, Russel and Anderson",B1-50809,20,50.11,1002.2,2014-03-01 23:47:17
688981,Keeling LLC,B1-86481,-1,97.16,-97.16,2014-03-02 01:46:44
729833,Koepp Ltd,S1-82801,26,50.29,1307.54,2014-03-02 02:59:26
307599,"Kassulke, Ondricka and Metz",S1-93683,-1,86.38,-86.38,2014-03-02 03:29:04
412290,Jerde-Hilpert,S2-23246,27,58.87,1589.49,2014-03-02 12:10:30
307599,"Kassulke, Ondricka and Metz",S2-34077,48,53.36,2561.28,2014-03-02 14:12:28
141962,Herman LLC,S2-10342,49,31.39,1538.11,2014-03-02 23:08:02
257198,"Cronin, Oberbrunner and Spencer",S2-16558,7,26.21,183.47,2014-03-03 00:29:24
257198,"Cronin, Oberbrunner and Spencer",S2-23246,40,49.19,1967.6,2014-03-03 10:17:24
688981,Keeling LLC,B1-38851,25,74.68,1867,2014-03-03 18:18:54
239344,Stokes LLC,S1-82801,41,78.9,3234.9,2014-03-04 01:06:20
218895,Kulas Inc,S2-78676,38,89.02,3382.76,2014-03-04 01:17:11
642753,Pollich LLC,S2-10342,40,56.85,2274,2014-03-04 01:49:22
737550,"Fritsch, Russel and Anderson",S2-83881,12,63.6,763.2,2014-03-04 15:26:20
146832,Kiehn-Spinka,B1-53636,5,72.16,360.8,2014-03-04 21:18:04
412290,Jerde-Hilpert,S2-77896,43,76.66,3296.38,2014-03-04 23:10:28
383080,Will LLC,S1-93683,28,90.86,2544.08,2014-03-05 05:11:49
729833,Koepp Ltd,S1-30248,13,44.84,582.92,2014-03-05 17:33:52
424914,White-Trantow,S2-82423,38,50.93,1935.34,2014-03-05 21:40:10
672390,Kuhn-Gusikowski,S1-50961,34,48.2,1638.8,2014-03-06 11:59:00
239344,Stokes LLC,S2-10342,34,36.93,1255.62,2014-03-06 23:49:16
218895,Kulas Inc,S2-34077,30,99.73,2991.9,2014-03-07 05:15:29
672390,Kuhn-Gusikowski,B1-05914,25,89.86,2246.5,2014-03-07 06:25:52
740150,Barton LLC,S1-82801,29,60.81,1763.49,2014-03-07 10:24:54
